Driver,Lap,LapTime,Sector1,Sector2,Sector3,MaxSpeed,AvgSpeed,MinSpeed,MaxThrottle,AvgThrottle,MinThrottle,MaxBrake,AvgBrake,BrakingSamples,MinGear,MaxGear,MostUsedGear,GearChanges,MaxRPM,AvgRPM,MinRPM,DRSUsage,TelemetrySamples
VER,1,90.354,,31.144,28.856,328.0,217.39789016239976,0.0,100.0,69.4208228476431,0.0,True,0.1676300578034682,116,1,8,8,50,12094.0,10399.303363125893,4259.0,0.0,692
VER,2,86.17,28.048,29.474,28.648,336.0,240.47762383740982,68.0,100.0,69.79264909125149,0.0,True,0.18448023426061494,126,2,8,8,38,11978.0,10479.190577263202,6034.0,9.224011713030746,683
VER,3,85.855,27.731,29.496,28.628,345.0,240.89542945979053,68.0,100.0,71.2098554238992,0.0,True,0.1781874039938556,116,2,8,8,37,12205.0,10439.17610939673,6120.0,17.050691244239633,651
VER,4,85.633,27.884,29.335,28.414,335.0,241.1183914137642,69.0,100.0,72.51636251642364,0.0,True,0.17095310136157338,113,2,8,8,33,11920.0,10442.590339793678,6262.0,0.0,661
VER,5,85.218,27.721,29.22,28.277,342.0,243.4665950821044,70.0,100.0,73.11859664537158,0.0,True,0.1641337386018237,108,2,8,8,35,12165.0,10450.644809388252,5800.0,8.662613981762918,658
VER,6,85.096,27.832,29.054,28.21,332.0,242.03914221266285,70.0,100.0,72.12141649728291,0.0,True,0.15326251896813353,101,2,8,8,32,11920.0,10406.597933615774,5157.0,0.0,659
VER,7,85.042,27.771,28.994,28.277,332.0,241.34396015470708,71.0,100.0,72.78532747644641,0.0,True,0.16304347826086957,105,2,8,8,35,11848.0,10423.106143226052,5209.0,0.0,644
VER,8,84.918,27.712,29.036,28.17,334.0,243.4886464728341,70.0,100.0,73.45132531930612,0.0,True,0.1606864274570983,103,2,8,8,32,11864.0,10457.249580971047,5623.0,0.0,641
VER,9,85.05,27.909,28.956,28.185,333.0,242.40061912338223,70.0,100.0,73.90761082129849,0.0,True,0.17465224111282843,113,2,8,8,33,11884.0,10452.911387335342,5843.0,0.0,647
VER,10,84.964,27.82,29.008,28.136,332.0,244.0667476101873,71.0,100.0,73.60071882364777,0.0,True,0.15902140672782875,104,2,8,8,33,11868.0,10461.442749430038,5584.0,0.0,654
VER,11,84.978,27.799,28.99,28.189,331.0,243.08932067748455,69.0,100.0,74.37009159580836,0.0,True,0.15821812596006143,103,2,8,8,34,11796.0,10444.726428479791,5486.0,0.0,651
VER,12,84.968,27.821,28.994,28.153,333.0,245.0363641575803,69.0,100.0,73.98011756091482,0.0,True,0.16149068322981366,104,2,8,8,35,11863.0,10458.64393891275,5336.0,0.0,644
VER,13,84.957,27.806,28.95,28.201,332.0,244.27210542407323,69.0,100.0,74.90863799154495,0.0,True,0.16434108527131783,106,2,8,8,34,11960.0,10504.454392618818,5769.0,0.0,645
VER,14,85.287,27.749,29.246,28.292,334.0,242.91590740623232,68.0,100.0,74.26045686549666,0.0,True,0.15668202764976957,102,2,8,8,32,11979.0,10473.49172440056,5508.0,0.0,651
VER,15,85.746,27.726,29.288,28.732,340.0,242.79878853877509,67.0,100.0,72.3915614412464,0.0,True,0.17585692995529062,118,2,8,8,35,11990.0,10502.280648852724,5376.0,18.330849478390462,671
VER,16,85.244,27.735,29.177,28.332,333.0,241.89068409219203,67.0,100.0,72.98361538220742,0.0,True,0.15193798449612403,98,2,8,8,34,11898.0,10432.032010005054,5809.0,8.992248062015504,645
VER,17,85.34,27.864,29.212,28.264,329.0,242.65314049602975,66.0,100.0,74.64722742131146,0.0,True,0.14939024390243902,98,2,8,8,33,11849.0,10454.39301179298,5675.0,0.0,656
VER,18,85.469,27.813,29.236,28.42,329.0,242.57002002394384,67.0,100.0,74.70219121403966,0.0,True,0.15863141524105753,102,2,8,8,32,11908.0,10497.37660314237,5940.0,0.0,643
VER,19,85.537,27.81,29.369,28.358,331.0,241.49219284324994,69.0,100.0,74.8830976507413,0.0,True,0.14263565891472868,92,2,8,8,32,11924.0,10400.458999810737,5927.0,0.0,645
VER,20,85.559,27.938,29.183,28.438,328.0,243.84472781696445,69.0,100.0,75.18064485459497,0.0,True,0.15288611544461778,98,2,8,8,32,11797.0,10423.75310307706,5586.0,0.0,641
LEC,1,88.179,,29.989,28.398,320.0,222.43184296153282,0.0,100.0,73.2371129603876,0.0,True,0.18851251840942562,128,1,8,8,47,12075.0,10480.22782723841,4604.0,0.0,679
LEC,2,85.396,27.707,29.265,28.424,334.0,240.42818478699382,67.0,100.0,75.34457130651863,0.0,True,0.20149253731343283,135,2,8,8,41,11968.0,10656.55447057561,5958.0,10.0,670
LEC,3,85.179,27.679,29.001,28.499,341.0,242.07274033150352,66.0,100.0,75.48256259774479,0.0,True,0.1574074074074074,102,2,8,8,39,12151.0,10729.893907440679,5805.0,18.209876543209877,648
LEC,4,84.81,27.653,28.883,28.274,341.0,244.28686322139322,67.0,100.0,74.881368371014,0.0,True,0.17378048780487804,114,2,8,8,43,12098.0,10734.166339908299,5937.0,18.75,656
LEC,5,84.603,27.63,28.79,28.183,339.0,244.40101757081467,68.0,100.0,75.27993879547297,0.0,True,0.1735159817351598,114,2,8,8,40,12133.0,10769.557861496718,5936.0,17.80821917808219,657
LEC,6,84.663,27.596,28.945,28.122,341.0,243.58224738717865,66.0,100.0,75.51094272042769,0.0,True,0.1633587786259542,107,2,8,8,39,12148.0,10801.2741167717,5808.0,18.16793893129771,655
